Stock Pair,RNN R2,RNN RMSE,RNN MAE,RNN MAPE,LSTM R2,LSTM RMSE,LSTM MAE,LSTM MAPE
"""HDFCBANK_TATASTEEL""",0.47848784228844254,2.0478370995864736,1.5706635559355302,0.44598547409499245,0.5151425308947197,1.9745595365960433,1.5111456018782392,0.4263454879239861
"""HDFCBANK_SUNPHARMA""",0.10582473052223751,1.6387046390051196,1.126429283096779,0.1370832546063568,0.19109744176722676,1.5586100077143532,1.0872295149337365,0.13480498220986978
"""HDFCBANK_CONCOR""",0.22579248668138963,3.205080673551026,2.0168236509009527,0.2908248684142496,0.22846157462232408,3.1995511302321855,1.9737775000326208,0.27547786835216126
"""HDFCBANK_BHARTIARTL""",-0.1958130833053624,3.3355836408125987,2.245605683118614,0.36212402168209995,-0.13193486990311576,3.2452705169645553,2.109437456022594,0.3284993747395767
"""M&M_ULTRACEMCO""",0.5071791590644178,1.2571059637135718,0.9655133785385465,0.3255091021492742,0.5406825460960998,1.2136230836938582,0.9277070433752972,0.3087411375544598
"""M&M_GRASIM""",0.45203519175931084,1.6617177800656588,1.2895993576989357,0.36915349709920686,0.46890411580018443,1.6359401106531315,1.247720312993207,0.3473312263522117
"""M&M_PIDILITIND""",0.48737406666311056,2.8050673669662514,1.913211253399925,0.2309133357450856,0.4852198190619643,2.8109551635219487,1.9305120496476111,0.2249025441049711
"""M&M_LT""",0.1290378249347246,0.885732826685664,0.6764042294834192,0.319463687033275,0.1775010103727277,0.8607376100761255,0.6591164020442334,0.32410218568816107
"""M&M_HINDUNILVR""",0.13134907502455906,4.359932924569404,1.6636759882566197,0.17725423086452013,0.20603938472405203,4.16827769588368,1.60370603051701,0.1726534741364082
"""M&M_ITC""",0.013294782842112496,1.825051031081637,1.2220658500105062,0.518302123173732,0.036788479937936325,1.8031926740669144,1.222162890033758,0.5262227507344414
"""M&M_RELIANCE""",0.849391380956093,2.276062297776687,1.7320858277243254,0.2015588264570758,0.8383779562662327,2.357813927769426,1.7951391504781626,0.20939533427407736
"""M&M_ONGC""",0.15131908715293552,2.746703790041646,1.8330029856835717,0.39318124808943977,0.13155950459428967,2.778495146937358,1.834676496000746,0.3977396030633872
"""M&M_UPL""",0.05340258306291301,2.6302243922327473,1.587374957072839,0.46831655960404667,0.08393045199391902,2.5874643021550368,1.5471144096398863,0.45062627990758025
"""M&M_ICICIBANK""",0.7955916541051687,1.5942777107929198,1.3124470955061502,0.2894483088437327,0.8065878727784952,1.550802574075668,1.2707068744333923,0.27741599920917487
"""M&M_SIEMENS""",0.22297745775458766,1.4846568449954622,1.0664619629043275,0.451187499601223,0.24509380776578793,1.4633754659624725,1.0522596806387061,0.44701876753185094
"""M&M_ABB""",0.3445119949643306,1.3894512752112766,0.9910745564805835,0.49073749207669154,0.3610598359807674,1.371800768239671,0.9832723262954053,0.49601703148002374
"""M&M_TCS""",0.5744543697219169,2.014663610383973,1.3311625615539837,0.3082592761458972,0.604346541071676,1.9426159841946127,1.2842189380760411,0.3051704387244003
"""M&M_INFY""",0.8536485035365143,1.9801541262551763,1.375257697831256,0.30528050758013625,0.8241699352796099,2.1704359753653044,1.4242406891940957,0.2910193933893274
"""M&M_TATASTEEL""",0.4685388178856925,2.4026866080115847,1.6980265513036454,0.41197509048295433,0.4979627155057358,2.3352282674717073,1.651873759425511,0.3965304089249778
"""M&M_SUNPHARMA""",-0.6277621380246274,2.251214571664309,1.6040240645114425,0.5283993910528403,-0.4066524764431205,2.0927378419271263,1.4478875541712677,0.4748268154560305
"""M&M_CONCOR""",0.06495966070044412,3.6057055980143673,2.354820901352876,0.5397271971549019,0.02840812519779412,3.6755050815941592,2.342005753717181,0.4893332550121006
"""M&M_BHARTIARTL""",-0.16597510971248686,3.619455559528918,2.2304281682591722,0.6277746291250187,-0.14538154599694653,3.587349578407879,2.2114732660385266,0.6151694062019932
"""ULTRACEMCO_GRASIM""",-0.06883249613103559,1.2381715217924703,0.921225500586133,0.3555765732975932,-0.13207897525084666,1.2742784795845135,0.9546886822222034,0.3769299929404391
"""ULTRACEMCO_PIDILITIND""",0.3042352089299585,2.663939812166456,1.7055452994755596,0.3062052378910093,0.2942023555636545,2.6830779293251483,1.7191359153842938,0.3069583006964714
"""ULTRACEMCO_LT""",0.2803549152380651,1.022672657514131,0.785847096542613,0.28624655491894707,0.27161351238605635,1.0288650227419625,0.7890865686427495,0.28727041689044736
"""ULTRACEMCO_HINDUNILVR""",-0.024133508985790142,4.331239169683918,1.7088727631064224,0.26987050699611537,-0.005916942856597718,4.292545818011774,1.6821235466499593,0.26625483933017857
"""ULTRACEMCO_ITC""",0.6389443501008488,1.4943123402192062,1.086924253897967,0.26457675441867234,0.6315554276299361,1.5095252845983547,1.094859846131003,0.2646073889563031
"""ULTRACEMCO_RELIANCE""",0.7370945454364191,2.4917440824548556,1.965877939605713,0.25849813925279985,0.7266956251570058,2.540545217489122,1.985215740061109,0.2715215533690904
"""ULTRACEMCO_ONGC""",0.5802293917736983,2.001024163842895,1.2796025937545898,0.18043420076214392,0.5799936704556594,2.0015859204837487,1.2778269783886214,0.18019315024780846
"""ULTRACEMCO_UPL""",-0.15637468727123816,2.4061152923497664,1.4016745930319099,0.5517526793599172,-0.18966552897721445,2.440504338411204,1.4033972222827165,0.5526018814270697
"""ULTRACEMCO_ICICIBANK""",0.7192444523194872,1.5082988128681385,1.1761100003123646,0.3513934526488161,0.726822810595523,1.4878030071041353,1.1567656943851279,0.34424854228802093
"""ULTRACEMCO_SIEMENS""",-0.08314338499639984,1.294598742841233,0.9717122909212137,0.31727396692258514,-0.0016191699188603526,1.2449259479646644,0.9056793502734328,0.2839465336239086
"""ULTRACEMCO_ABB""",0.257136508973963,1.4419969273318232,1.06795198760099,0.3115513084493701,0.245380274254958,1.4533623460965874,1.0784580527470229,0.3156352176915474
"""ULTRACEMCO_TCS""",0.2188489614989657,1.5600421591758098,1.0824308314831455,0.3062069017797345,0.23228397285101365,1.5465683969270916,1.066760225781256,0.29818316428441505
"""ULTRACEMCO_INFY""",0.761517673456582,1.6980106910680628,1.2910428325752128,0.2888314724433837,0.7626365542230557,1.6940227537495922,1.297322608988211,0.2851918454136877
"""ULTRACEMCO_TATASTEEL""",0.20364165882258511,1.6945976358892172,1.2439350280883605,0.3452955085429498,0.21258349736035242,1.6850569594936537,1.2392222383434104,0.346643831915944
"""ULTRACEMCO_SUNPHARMA""",0.14612296010805292,1.6851675265127788,1.1362919307704367,0.22347471561217933,0.2211140339202321,1.6094680250685587,1.0738641656795722,0.2069350886011631
"""ULTRACEMCO_CONCOR""",0.19606722488642725,3.3532563357583096,2.0166153542731227,0.5378556217683435,0.17431907877383113,3.3983101399420548,2.0321102382268608,0.534189784286557
"""ULTRACEMCO_BHARTIARTL""",-0.16323382783129436,3.2861244620671104,1.9604351041138575,0.4428953240294181,-0.18674524357345978,3.319168089497549,1.9384775705067507,0.4259343404138615
